,source,location,text,detective,category,label
296,Facebook posts,"stated on May 12, 2020 in a headline in a Facebook post:","“Beachgoers trash Florida beaches with 13,000 pounds of litter after beaches reopen.”","By Amy Sherman • May 18, 2020",mostly-true,1
297,Chip Roy,"stated on May 6, 2020 in an interview:",Says Wisconsin has not had a spike in coronavirus cases that was “statistically significant related to the fact that they had voting.”,"By Madlin Mekelburg • May 18, 2020",mostly-true,1
298,Donald Trump,"stated on May 14, 2020 in a speech:",“You have areas of Pennsylvania that are barely affected and [the governor wants] to keep them closed.”,"By Jessica Calefati • May 18, 2020",half-true,1
299,Janel Brandtjen,"stated on May 12, 2020 in a tweet:",Says Gov Tony Evers’ administration deemed dentists non-essential,"By Nusaiba Mizan • May 15, 2020",false,3
300,Facebook posts,"stated on May 12, 2020 in a Facebook post:","$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”","By Tom Kertscher • May 15, 2020",false,3
301,Facebook posts,"stated on May 9, 2020 in a Facebook post:","“It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.”","By Tom Kertscher • May 15, 2020",half-true,1
302,Stacey Abrams,"stated on May 7, 2020 in an interview with Mother Jones:","“Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.”","By Jon Greenberg • May 15, 2020",false,3
303,Mitch McConnell,"stated on May 11, 2020 in a Team Trump Facebook Live:","“Clearly, the Obama administration did not leave any kind of game plan for something like this.”","By Victoria Knight • May 14, 2020",pants-fire,3
304,Darin LaHood,"stated on May 1, 2020 in a TV interview:","""93% of the (COVID-19) cases in the state of Illinois have come from Chicago.""","By Kiannah Sepeda-Miller • May 14, 2020",false,3
305,Facebook posts,"stated on May 6, 2020 in an image:",Gates Foundation stands to make nearly £31.5 billion on a coronavirus vaccine in U.K.,"By Daniel Funke • May 14, 2020",false,3
306,Rand Paul,"stated on May 6, 2020 in an interview:","$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""","By Tom Kertscher • May 14, 2020",false,3
307,Bloggers,"stated on April 23, 2020 in a post on TikTok:",“It’s not the coronavirus that’s killing people. It is the economy.”,"By Jon Greenberg • May 14, 2020",false,3
308,Mike Turzai,"stated on May 9, 2020 in a video:","“Guess what, [children are] not at risk unless they have an underlying medical issue.”","By Jessica Calefati • May 14, 2020",false,3
309,Donald Trump,"stated on May 11, 2020 in comments in the Rose Garden:","“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”","By Shefali Luthra • May 13, 2020",false,3
310,Chris Murphy,"stated on May 11, 2020 in an MSNBC interview:","Says President Donald Trump implemented “a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.”","By Bill McCarthy • May 13, 2020",false,3
311,Coalition for the Homeless,"stated on April 8, 2020 in a newspaper interview:","New York City could pay to house its homeless population in hotel rooms currently sitting vacant, but Mayor Bill de Blasio “has absolutely to this point refused to do that.”","By Rachel Kimmel • May 13, 2020",mostly-true,1
312,Facebook posts,"stated on May 5, 2020 in a Facebook post:",Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”,"By Eric Litke • May 13, 2020",true,0
313,Louis Riggs,"stated on April 21, 2020 in an opinion piece in the Missouri Times:",“Nearly half of (Missouri) counties have not reported positive (COVID-19) cases.”,"By Sara Dingmann • May 13, 2020",false,3
314,Facebook posts,"stated on May 9, 2020 in Facebook post:","Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity","By Emily Venezky • May 13, 2020",pants-fire,3
315,Jeff Shipley,"stated on April 28, 2020 in a Tweet:","Young people ""have a greater chance of being killed by the HPV vaccine than COVID-19.”","By Rylee Wilson • May 12, 2020",pants-fire,3
316,Cal Cunningham,"stated on April 24, 2020 in a tweet:","""Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.""","By Paul Specht • May 12, 2020",barely-true,2
317,Facebook posts,"stated on May 7, 2020 in a Facebook post:",“The CDC has recommended mail in voting. That’s what this whole pandemic is about: the election!”,"By Amy Sherman • May 12, 2020",barely-true,2
318,Jerome R. Corsi,"stated on April 28, 2020 in an article:","Says Dr. Anthony Fauci's name appears on ""4 U.S. patents for a key glycoprotein” used to “create the current COVID-19 epidemic.”","By Daniel Funke • May 12, 2020",false,3
319,One America News,"stated on May 8, 2020 in a Facebook video:",“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,"By Eric Litke • May 12, 2020",pants-fire,3
320,Ralph Northam,"stated on May 1, 2020 in a news conference.:",Technology coming to Virginia allows COVID-19 personal protection equipment to be “decontaminated and reused 20 times without degrading performance.”,"By Warren Fiske • May 12, 2020",half-true,1
321,Tweets,"stated on May 10, 2020 in a tweet:",Barack Obama “is the first ex-president to ever speak against his successor.”,"By Jon Greenberg • May 11, 2020",false,3
322,Viral image,"stated on May 7, 2020 in a Facebook post:",“Dr. Fauci sat on Microsoft’s board of directors.”,"By Ciara O'Rourke • May 11, 2020",false,3
323,Gary Kelly,"stated on May 3, 2020 in an interview on CBS:","Regarding the risks of coronavirus transmission on an airplane, “It’s as safe as an environment as you’re going to find.”","By Victoria Knight • May 11, 2020",barely-true,2
324,South West News Service,"stated on April 24, 2020 in a news story:",Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,"By Tom Kertscher • May 8, 2020",false,3
325,Facebook posts,"stated on April 29, 2020 in a Facebook post:",Georgia Gov. Brian Kemp “mandates restaurants reopen”,"By Amy Sherman • May 8, 2020",false,3
326,Facebook posts,"stated on May 3, 2020 in a Facebook post:",Central Park hospital tents housed thousands of abused children released from underground captivity.,"By Madison Czopek • May 8, 2020",pants-fire,3
327,Viral image,"stated on April 20, 2020 in a Facebook post:",“New autopsy reports suggest Jeffrey Epstein most likely died from COVID-19 complications.”,"By Ciara O'Rourke • May 8, 2020",false,3
328,Bloggers,"stated on May 8, 2020 in a blog post:",Says Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,"By Samantha Putterman • May 8, 2020",false,3
329,Viral image,"stated on May 6, 2020 in a Facebook post:",A photo shows Brian Kemp posing with Gregory McMichael.,"By Ciara O'Rourke • May 8, 2020",false,3
330,Greg Abbott,"stated on May 3, 2020 in a tweet:",“Texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.,"By Madlin Mekelburg • May 8, 2020",half-true,1
331,Warren Daniel,"stated on April 23, 2020 in a tweet:","North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”","By Paul Specht • May 8, 2020",false,3
332,Facebook posts,"stated on April 28, 2020 in a Facebook post:",“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,"By Bill McCarthy • May 7, 2020",barely-true,2
333,Liberty Counsel,"stated on May 1, 2020 in a blog post:","Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”","By Tom Kertscher • May 7, 2020",barely-true,2
334,Facebook posts,"stated on April 14, 2020 in a Facebook post:",Says the current survival rate for COVID-19 in the U.S. is “98.54%”,"By Samantha Putterman • May 7, 2020",half-true,1
335,Kirsten Gillibrand,"stated on April 21, 2020 in a tweet:",“Immigrants make up a majority of essential workers in places like New York City.”,"By Jaren English • May 7, 2020",mostly-true,1
336,Facebook posts,"stated on April 14, 2020 in a Facebook post:","Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries.","By Samantha Putterman • May 7, 2020",pants-fire,3
337,Viral image,"stated on May 4, 2020 in a Facebook post:",A photo shows Rob Cantrall at a recent Michigan protest.,"By Ciara O'Rourke • May 7, 2020",false,3
338,Facebook posts,"stated on May 2, 2020 in a Facebook post:","Gas is under $1 in 13 states, but $2.27 in Pennsylvania, because of the governor.","By Tom Kertscher • May 7, 2020",barely-true,2
339,Lincoln Project,"stated on May 5, 2020 in an ad:","""Trump bailed out Wall Street, but not Main Street.""","By Louis Jacobson • May 7, 2020",false,3
340,Donald Trump,"stated on May 5, 2020 in an interview on ABC:",Models projecting COVID-19 deaths “are talking about without mitigation.”,"By Amy Sherman • May 6, 2020",false,3
341,Dan Forest,"stated on April 24, 2020 in an interview:","""We’ve still had more deaths to the flu this year than we've had COVID-19.""","By Paul Specht • May 6, 2020",false,3
342,Laura Ingraham,"stated on May 4, 2020 in a TV segment:","""There was no real scientific basis for believing that"" social distancing would be necessary, ""since it had never been studied.""","By Bill McCarthy • May 6, 2020",false,3
343,Bloggers,"stated on April 27, 2020 in an article:","Dr. Anthony Fauci ""has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”","By Daniel Funke • May 6, 2020",false,3
344,Viral image,"stated on April 29, 2020 in a Facebook post:","“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”","By Ciara O'Rourke • May 6, 2020",pants-fire,3
345,Nate McMurray,"stated on April 8, 2020 in a tweet:",Congressional candidate Chris Jacobs “voted against paid leave for COVID-19.”,"By Meghan Hall • May 6, 2020",mostly-true,1
346,Facebook posts,"stated on April 18, 2020 in a Facebook post:","“The flu killed 80,000 people in the U.S. last year”","By Amy Sherman • May 6, 2020",barely-true,2
347,Bloggers,"stated on April 25, 2020 in a blog post:",“First volunteer in UK coronavirus vaccine trial has died.”,"By Ciara O'Rourke • May 5, 2020",false,3
348,Andrew Cuomo,"stated on April 23, 2020 in a news conference:","“At the end of the year, we put into that federal pot $116 billion more than we take out,” while Kentucky “takes out $148 billion more than they put in.”","By Jill Terreri Ramos • May 5, 2020",half-true,1
349,Cindy O’Laughlin,"stated on March 22, 2020 in a Facebook post:",“I see no time in the history of this country when perfectly healthy people have been basically confined to their homes or only able to do essential things as in Kansas City or St. Louis.”,"By Jack Kosowski • May 4, 2020",false,3
350,Facebook posts,"stated on April 14, 2020 in a Facebook post:",“New York Times editor admits Biden sexual assault story was censored at behest of Biden campaign.”,"By Tom Kertscher • May 4, 2020",barely-true,2
351,Tucker Carlson,"stated on April 27, 2020 in a TV segment:",“The (corona)virus just isn’t nearly as deadly as we thought it was.”,"By Bill McCarthy • May 4, 2020",barely-true,2
352,Donald Trump,"stated on May 3, 2020 in a Fox News virtual town hall:",Says Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,"By Bill McCarthy • May 4, 2020",false,3
353,Rudy Giuliani,"stated on April 26, 2020 in a tweet:","""Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?""","By Jon Greenberg • May 1, 2020",false,3
354,Facebook posts,"stated on April 29, 2020 in a Facebook post:",Says President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,"By Samantha Putterman • May 1, 2020",false,3
355,Viral image,"stated on April 29, 2020 in a Facebook post:","Walmart, Amazon, Kroger, Target and Costco “have not had any reported (coronavirus) cases in the news.”","By Ciara O'Rourke • May 1, 2020",false,3
356,Tony Evers,"stated on April 21, 2020 in a Facebook post:","Says Wisconsin measures have ""prevented the death of at least 300 Wisconsinites, and perhaps as many as 1,400 lives.""","By Eric Litke • May 1, 2020",mostly-true,1
357,Facebook posts,"stated on April 22, 2020 in a Facebook post:",The existence of a canine coronavirus vaccine casts doubt on statements that there isn’t one for humans.,"By Samantha Putterman • May 1, 2020",false,3
358,Facebook posts,"stated on April 23, 2020 in a viral image circulating on social media attributing comments to Barack Obama:","Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”","By Victoria Knight • May 1, 2020",pants-fire,3
359,Facebook posts,"stated on April 27, 2020 in a Facebook post:",The CDC recommends that only people with COVID-19 symptoms should wear masks.,"By Tom Kertscher • May 1, 2020",false,3
360,Facebook posts,"stated on April 22, 2020 in a Facebook post:",“Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.”,"By Amy Sherman • April 30, 2020",pants-fire,3
361,Bloggers,"stated on April 22, 2020 in a post on Facebook:","“President Trump just announced that the ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak (sp) Hussein Obama in 2015 to the tune of $3,800,000 American dollars!”","By Jon Greenberg • April 30, 2020",false,3
362,Donald Trump,"stated on April 27, 2020 in comments made during a White House briefing:",“We’ve tested more than every country combined.”,"By Shefali Luthra • April 30, 2020",pants-fire,3
363,Facebook posts,"stated on April 23, 2020 in a Facebook post:",“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,"By Miriam Valverde • April 29, 2020",barely-true,2
364,Facebook posts,"stated on April 26, 2020 in a Facebook post:",COVID-19 is “here to stay” and “we need to accept that and be prepared to deal with COVID long term.”,"By Eric Litke • April 29, 2020",mostly-true,1
365,Instagram posts,"stated on April 27, 2020 in a screenshot:",Michigan Gov. Gretchen Whitmer “has just been stripped of her emergency coronavirus powers by her state legislature.”,"By Daniel Funke • April 29, 2020",barely-true,2
366,Andrew Cuomo,"stated on April 12, 2020 in a tweet:","“Some states, like Montana and Nebraska, are getting more than $300,000 in federal stimulus money per reported COVID-19 case. New York is the hardest-hit state and yet we are getting only about $12,000 per case.”","By Meghan Hall • April 29, 2020",mostly-true,1
367,Donald Trump,"stated on April 23, 2020 in comments made during a White House media briefing on the coronavirus:",“We’re also using a sterilization process ― some great equipment that will sterilize masks up to 20 times per mask. So that’s like ordering 20 times more masks.”,"By Shefali Luthra • April 29, 2020",half-true,1
368,Jamie Nadler,"stated on April 14, 2020 in a newspaper interview:",“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,"By Jaren English • April 29, 2020",true,0
369,Steve Bannon,"stated on April 14, 2020 in a radio interview.:","Dr. Anthony “Fauci told us there’s nothing to worry about. That’s his quote, ‘There’s nothing to worry about.’”","By Warren Fiske • April 29, 2020",half-true,1
370,Facebook posts,"stated on April 24, 2020 in an image:",“Ultraviolet Radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now.”,"By Daniel Funke • April 28, 2020",false,3
371,Facebook posts,"stated on April 19, 2020 in a Facebook post:","“Sweden has zero lockdown” and “is in no worse shape than Denmark or Norway,” which are in lockdown.","By Tom Kertscher • April 28, 2020",barely-true,2
372,Facebook posts,"stated on April 26, 2020 in on social media:",The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.,"By Louis Jacobson • April 27, 2020",pants-fire,3
373,Facebook posts,"stated on April 22, 2020 in a Facebook post:",Mosquitoes can transfer COVID-19 “from person to person”,"By Amy Sherman • April 27, 2020",false,3
374,Bloggers,"stated on April 22, 2020 in a post on Facebook:",“People defying stay-at-home order fill Arizona beaches.”,"By Jon Greenberg • April 27, 2020",pants-fire,3
375,Chris Larson,"stated on April 23, 2020 in a Facebook post:",Says the April 22 jump in COVID-19 cases was related to the election.,"By Eric Litke • April 24, 2020",false,3
376,Franklin Graham,"stated on April 17, 2020 in a Facebook post:","Even with no shutdown, Sweden has a lower COVID-19 infection rate than UK, Italy and Spain.","By Tom Kertscher • April 24, 2020",half-true,1
377,Facebook posts,"stated on April 3, 2020 in on social media:","In 1986, the founder of the Times Square Church prophesied that he saw “a plague coming on the world and the bars and church and government will shut down,” with New York City especially hard hit.","By Patrick Orsagos • April 24, 2020",false,3
378,Facebook posts,"stated on April 21, 2020 in a Facebook post:",“Trump said ‘hundreds’ of governors are calling him…& we only have 50.”,"By Ciara O'Rourke • April 24, 2020",false,3
379,Facebook posts,"stated on April 22, 2020 in a Facebook post:","During the 1918 flu pandemic, San Francisco residents formed the “Anti-Mask League.” San Francisco “was ultimately one of the cities that suffered the most with a high death rate.”","By Amy Sherman • April 24, 2020",mostly-true,1
380,Veronica Escobar,"stated on April 22, 2020 in an interview:",Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,"By Madlin Mekelburg • April 24, 2020",true,0
381,Facebook posts,"stated on April 13, 2020 in a Facebook post:",“Governor Gretchen Whitmer spent the past weekend at her VACATION COTTAGE at Birch Lake. Violating her own EXECUTIVE ORDER.”,"By Ciara O'Rourke • April 24, 2020",false,3
382,Facebook posts,"stated on April 17, 2020 in a Facebook post:","A banner with a swastika, “Trump” and “Pence” is from a Michigan coronavirus protest.","By Tom Kertscher • April 24, 2020",false,3
383,Jay Chaudhuri,"stated on April 10, 2020 in an op-ed:","North Carolina is ""in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public.""","By Paul Specht • April 23, 2020",true,0
384,Donald Trump,"stated on April 20, 2020 in a daily coronavirus press briefing:","“Hundreds and hundreds of labs are ready, willing, and able.”","By Jon Greenberg • April 23, 2020",barely-true,2
385,Facebook posts,"stated on April 13, 2020 in a text post:","The Gates Foundation ""tested a polio vax in India between 2000 & 2017 and paralysed 496,000 children.""","By Daniel Funke • April 23, 2020",false,3
386,Facebook posts,"stated on April 11, 2020 in a Facebook post:",Says Bill O'Reilly wrote a post claiming that the coronavirus was created as a bioweapon by the Chinese government.,"By Samantha Putterman • April 23, 2020",pants-fire,3
387,Viral image,"stated on April 19, 2020 in a Facebook post:",Photo shows packed beach of re-opened Jacksonville Beach on CNN.,"By Samantha Putterman • April 23, 2020",pants-fire,3
388,Marco Rubio,"stated on April 20, 2020 in a New York Times op-ed:","“Face masks being manufactured in China, for example, went to domestic consumption and their own fight against the virus” while the U.S. was “largely unable to import supplies from China.”","By Amy Sherman • April 23, 2020",barely-true,2
389,Facebook posts,"stated on April 10, 2020 in posts on the Internet:","“The Democrats are pushing for an implanted microchip in humans, and everyone to be vaccinated.”","By Louis Jacobson • April 23, 2020",false,3
390,Joe Biden,"stated on April 21, 2020 in a tweet:","“The Trump Administration promised 27 million tests by the end of March. As of now, only 4 million have been completed.”","By Amy Sherman • April 23, 2020",half-true,1
391,Lovely Warren,"stated on April 8, 2020 in a press conference:","Racial comparisons on coronavirus statistics in Monroe County, N.Y., show that the impact on minorities is “basically on par, a little bit up, from the population numbers,” meaning that “we don’t see that disparity as much here.”","By Michael Hogan • April 23, 2020",half-true,1
392,Facebook posts,"stated on April 20, 2020 in an image:","The Gates Foundation ""has the patent for this coronavirus.""","By Daniel Funke • April 23, 2020",false,3
393,Facebook posts,"stated on April 22, 2020 in a Facebook post:","Trey Gowdy said, “I’m not saying COVID-19 isn’t real…. But pay attention folks, there’s much more going on here than what meets the eye.”","By Ciara O'Rourke • April 23, 2020",false,3
394,Viral image,"stated on April 19, 2020 in a Facebook post:",Nigerians are “burning Chinese stores.”,"By Ciara O'Rourke • April 22, 2020",false,3
395,Levar Stoney,"stated on April 10, 2020 in a radio interview.:",Virginia has “lagged behind other states when it comes to (covid-19) testing.”,"By Warren Fiske • April 22, 2020",true,0
396,Joe Biden,"stated on April 15, 2020 in comments at a virtual town hall meeting:","“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”","By Victoria Knight • April 22, 2020",true,0
397,Facebook posts,"stated on April 2, 2020 in a Facebook post:","Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.","By Tom Kertscher • April 22, 2020",false,3
398,Facebook posts,"stated on April 13, 2020 in a Facebook post:",Joe Diffie’s death was labeled “as a COVID-19 death and it wasn’t!”,"By Ciara O'Rourke • April 22, 2020",false,3
399,Mandy Cohen,"stated on April 20, 2020 in a press conference:","""Covid-19 is now the leading cause of death in the United States.""","By Paul Specht • April 22, 2020",half-true,1
400,Wisconsin Republican Legislative leaders,"stated on April 21, 2020 in a joint statement:",Wisconsin is “clearly seeing a decline in COVID infections”,"By Eric Litke • April 21, 2020",barely-true,2
401,Facebook posts,"stated on April 10, 2020 in a Facebook post:",Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,"By Tom Kertscher • April 21, 2020",false,3
402,Facebook posts,"stated on April 16, 2020 in a Facebook post:",Says Democrats are on vacation until May 4 and “refuse to come back” to sign a bill to help small businesses.,"By Samantha Putterman • April 21, 2020",false,3
403,Facebook posts,"stated on April 10, 2020 in a Facebook post:",Hospitals get paid more to list patients as COVID-19.,"By Tom Kertscher • April 21, 2020",half-true,1
404,Viral image,"stated on April 19, 2020 in a Facebook post:","A photo taken by a journalist showing a beach in Jacksonville, Fla., isn't from after the government
reopened the beach as news reports have claimed.","By Ciara O'Rourke • April 21, 2020",false,3
405,Viral image,"stated on April 19, 2020 in a Facebook post:",“My wife is suffering from coronavirus and she is pregnant. The doctor said she won’t survive it.”,"By Ciara O'Rourke • April 21, 2020",pants-fire,3
406,Jay Inslee,"stated on April 19, 2020 in an interview on ABC's ""This Week"":",Stay-at-home orders “actually are the law of these states.”,"By Louis Jacobson • April 21, 2020",mostly-true,1
407,Facebook posts,"stated on April 17, 2020 in a Facebook post:",Says Wisconsin’s in-person election has caused a “surge” in new coronavirus cases,"By Eric Litke • April 21, 2020",false,3
408,Facebook posts,"stated on March 18, 2020 in a Facebook post:","“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”","By Jessica Calefati • April 21, 2020",true,0
409,Facebook posts,"stated on April 19, 2020 in an image:","Says a photo shows the ""SAME EXACT PEOPLE"" at ""two different beaches"" in Los Angeles County and Jacksonville, Fla.","By Daniel Funke • April 20, 2020",false,3
410,Facebook posts,"stated on April 19, 2020 in a Facebook post:",News photo from stay-at-home protest was doctored to add Confederate flag.,"By Tom Kertscher • April 20, 2020",pants-fire,3
411,Andrew Cuomo,"stated on April 14, 2020 in a news conference:","“Go look at other countries that went through exactly this, started to reopen, and then they saw the infection rate go back up again.”","By Jill Terreri Ramos • April 20, 2020",true,0
412,Phil McGraw,"stated on April 16, 2020 in a Fox News appearance:","There are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”","By Bill McCarthy • April 17, 2020",false,3
413,Gretchen Whitmer,"stated on April 15, 2020 in an April 15, 2020 press conference:","“During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.”","By Amy Sherman • April 17, 2020",mostly-true,1
414,Tweets,"stated on April 10, 2020 in a Twitter post:","“Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.”","By Madison Czopek • April 17, 2020",false,3
415,Jeff Jackson,"stated on April 6, 2020 in a tweet:",NC liquor stores were deemed essential “because we have a lot of people who are chemically dependent on alcohol and if we suddenly cut off their access they would go into withdrawal and flood the emergency rooms.”,"By Paul Specht • April 17, 2020",barely-true,2
416,Ron DeSantis,"stated on April 14, 2020 in an April 14, 2020 press briefing:","“Obesity is, like, the No. 1 factor in whether you really get hit hard by COVID-19.”","By Amy Sherman • April 17, 2020",half-true,1
417,Donald Trump,"stated on April 16, 2020 in a tweet:",Says House Speaker Nancy Pelosi deleted a video of her telling people to go to Chinatown.,"By Miriam Valverde • April 16, 2020",false,3
418,Facebook posts,"stated on April 16, 2020 in a post on Facebook:",“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,"By Tom Kertscher • April 16, 2020",true,0
419,Barack Obama,"stated on April 14, 2020 in his online video endorsement of Joe Biden for president:","Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""","By Shefali Luthra • April 16, 2020",true,0
420,Facebook posts,"stated on March 31, 2020 in posts on the Internet:","If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.","By Patrick Orsagos • April 16, 2020",false,3
421,Facebook posts,"stated on April 9, 2020 in a Facebook post:","Says all Vegas hotels but Trump’s have donated food, rooms in COVID response.","By Tom Kertscher • April 16, 2020",barely-true,2
422,Pat Toomey,"stated on April 15, 2020 in a Politico interview:","“In a matter of days, and in some cases the moment may even have passed, that we’ve reached the peak of the rate of infections.”","By Jessica Calefati • April 16, 2020",half-true,1
423,Facebook posts,"stated on April 12, 2020 in an image:",Says Dr. Anthony Fauci “stands to lose 100 million dollars on Bill Gates ‘vaccine’ for the coronavirus. Because he invested in this vaccine.”,"By Daniel Funke • April 15, 2020",false,3
424,Kellyanne Conway,"stated on April 15, 2020 in an interview on ""Fox & Friends"":","""This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.""","By Bill McCarthy • April 15, 2020",false,3
425,YouTube videos,"stated on April 12, 2020 in social media posts:","The $1,200 coronavirus relief checks this year are “just an advance on your next tax return. … Next year, you're automatically going to owe $1,200 come tax season.”","By Louis Jacobson • April 15, 2020",false,3
426,Facebook posts,"stated on April 12, 2020 in a Facebook post:",Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,"By Tom Kertscher • April 15, 2020",false,3
427,Viral image,"stated on April 5, 2020 in a Facebook post:",Says 44 senators “voted NOT to send stimulus checks.”,"By Ciara O'Rourke • April 15, 2020",false,3
428,Viral image,"stated on March 26, 2020 in a Facebook post:",A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.,"By Ciara O'Rourke • April 15, 2020",false,3
429,Lori Lightfoot,"stated on April 7, 2020 in remarks at a news conference:","“Illinois lags way behind all of our neighbors and certainly we’re in the bottom tier of states that are doing testing.""","By Kiannah Sepeda-Miller • April 15, 2020",half-true,1
430,AFL-CIO,"stated on April 13, 2020 in a Facebook post:","""The Postal Service is not losing money because of Amazon. It’s losing money because in 2006, the Republican-led Congress passed a law forcing it to prepay its pensions for 75 years, which no other corporation does ... Without this law, the Postal Service would be turning a profit.”","By Bill McCarthy • April 15, 2020",half-true,1
431,Facebook posts,"stated on April 10, 2020 in Facebook posts:",Images show COVID-19 victims being buried in mass graves in New York City.,"By Samantha Putterman • April 15, 2020",mostly-true,1
432,Viral image,"stated on April 13, 2020 in a Facebook post:","“Corona is so bad, this guy died twice!”","By Ciara O'Rourke • April 15, 2020",false,3
433,Bobby Scott,"stated on April 2, 2020 in a radio interview.:","”If you line up all the countries that have done (Covid-19) testing on a per-capita basis, we’re at the bottom of the list.”","By Warren Fiske • April 15, 2020",false,3
434,Viral image,"stated on April 10, 2020 in a Facebook post:",Says a video shows a “gay party in Italy few weeks before COVID-19.”,"By Ciara O'Rourke • April 14, 2020",false,3
435,Facebook posts,"stated on April 6, 2020 in a Facebook post:","Says the Asian, Hong Kong, swine and bird flus each “killed more people than coronavirus.”","By Tom Kertscher • April 14, 2020",false,3
436,Donald Trump,"stated on April 13, 2020 in in a White House briefing:",Says as president he has “total” authority to re-open states amid the COVID-19 pandemic.,"By Amy Sherman • April 14, 2020",pants-fire,3
437,Facebook posts,"stated on March 31, 2020 in a Facebook post:",Says there’s an 800 number you can call to track the status of your stimulus check.,"By Samantha Putterman • April 14, 2020",pants-fire,3
438,Facebook posts,"stated on April 13, 2020 in a Facebook post:",“Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.”,"By Ciara O'Rourke • April 14, 2020",false,3
439,Kathy Hochul,"stated on April 8, 2020 in a television interview:","Gov. Andrew Cuomo “was simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.""","By Jill Terreri Ramos • April 14, 2020",pants-fire,3
440,Candace Owens,"stated on April 6, 2020 in a tweet:",“Everyone is only dying of coronavirus now.”,"By Jon Greenberg • April 14, 2020",false,3
441,Rick Santorum,"stated on April 13, 2020 in on CNN:","""The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.""","By Jessica Calefati • April 14, 2020",barely-true,2
442,Bloggers,"stated on April 9, 2020 in a blog post:","“Church services can’t resume until we’re all vaccinated, says Bill Gates.”","By Ciara O'Rourke • April 13, 2020",false,3
