,source,text,type,category,label,English
502, Vlad Voiculescu,"„Spitalele noastre funcționează cu 80% - 90% din buget mergând pentru costurile de personal. Dacă 80% - 90% din bugetul unui spital merge către cheltuielile de personal, atunci nu ai bani de echipamente, dar nu ai bani nici să funcționeze acele echipamente, nu ai bani de dezinfectant, nu ai bani de medicamente, nu ai bani de toate celelalte.”", DECLARAȚII Sanatate,Parțial Adevărat,1,"„Spitalele noastre funcționează cu 80% - 90% din buget mergând pentru costurile de personal. Dacă 80% - 90% din bugetul unui spital merge către cheltuielile de personal, atunci nu ai bani de echipamente, dar nu ai bani nici să funcționeze acele echipamente, nu ai bani de dezinfectant, nu ai bani de medicamente, nu ai bani de toate celelalte.”"
503, Victor Ponta,"„Sunt prea subiectiv să mă întrebaţi pe mine. Nu mă întrebaţi ce ar trebui să facă alţii. Puteţi să mă întrebaţi ce am făcut eu. Când eu am fost acuzat de ceva, m-am retras din funcţie, judecătorii m-au achitat, pot să fac din nou.”", DECLARAȚII Politica,Parțial Fals,2,"„Sunt prea subiectiv să mă întrebaţi pe mine. Nu mă întrebaţi ce ar trebui să facă alţii. Puteţi să mă întrebaţi ce am făcut eu. Când eu am fost acuzat de ceva, m-am retras din funcţie, judecătorii m-au achitat, pot să fac din nou.”"
504, Sorina Pintea,"Bugetul Ministerului Sănătății și al Casei Naționale de Asigurări de Sănătate ajunge anul acesta la 4,84% din Produsul Intern Brut, ceea ce înseamnă o creștere istorică. Bugetul pentru investiții a crescut cu 84%, ceea ce înseamnă că există bani pentru achiziționarea de aparatură medicală și pentru renovarea spitalelor care necesită acest lucru.", DECLARAȚII Sanatate,Parțial Fals,2,"Bugetul Ministerului Sănătății și al Casei Naționale de Asigurări de Sănătate ajunge anul acesta la 4,84% din Produsul Intern Brut, ceea ce înseamnă o creștere istorică. Bugetul pentru investiții a crescut cu 84%, ceea ce înseamnă că există bani pentru achiziționarea de aparatură medicală și pentru renovarea spitalelor care necesită acest lucru."
505, Emilian Pavel,"„Aș vrea să fie clar. Klaus Iohannis nu mai este președintele României. La ora la care scriu, el este de ceva vreme candidatul PNL la funcția de președinte, şi total pe lângă Constituție, președintele de facto al PNL”.", DECLARAȚII Politica,Parțial Fals,2,"„Aș vrea să fie clar. Klaus Iohannis nu mai este președintele României. La ora la care scriu, el este de ceva vreme candidatul PNL la funcția de președinte, şi total pe lângă Constituție, președintele de facto al PNL”."
506, Daniel Constantin,"""Guvernul Cioloș a rămas cu eticheta de ""guvern zero"" pentru ca a ""reușit"" performanța de a avea cel mai scăzut nivel al investițiilor publice din ultimii 10 ani - atât ca fonduri naționale cât și ca nivel al fondurilor europene atrase. [...] Dar execuția bugetului pe cei doi ani de guvernare Dragnea-Tariceanu ne arată investiții mai mici chiar și decât ""guvernul zero"":  2017 - 3.2% PIB - 26.7 mld  2018 - 3.6% PIB - 34.2 mld""", DECLARAȚII Finante,Adevărat,0,"""Guvernul Cioloș a rămas cu eticheta de ""guvern zero"" pentru ca a ""reușit"" performanța de a avea cel mai scăzut nivel al investițiilor publice din ultimii 10 ani - atât ca fonduri naționale cât și ca nivel al fondurilor europene atrase. [...] Dar execuția bugetului pe cei doi ani de guvernare Dragnea-Tariceanu ne arată investiții mai mici chiar și decât ""guvernul zero"":  2017 - 3.2% PIB - 26.7 mld  2018 - 3.6% PIB - 34.2 mld"""
507, Lavinia Craioveanu,"""Vreau să vă reamintesc că anul trecut am depus bugetul aşa cum prevede legea, la finalul anului precedent, numai că președintelui Iohannis i-a luat mai bine de o lună şi jumătate până să promulge acelaşi buget. Prin urmare, nu-mi amintesc anul trecut să fi fost aşa mare scandal şi problemă legată de această întârziere. [...] Anul trecut, Guvernul a depus bugetul în decembrie şi noi l-am votat în Parlament, președintele l-a promulgat în februarie. Asta este o informație care se poate verifica foarte uşor. """, DECLARAȚII Politica,Fals,3,"""Vreau să vă reamintesc că anul trecut am depus bugetul aşa cum prevede legea, la finalul anului precedent, numai că președintelui Iohannis i-a luat mai bine de o lună şi jumătate până să promulge acelaşi buget. Prin urmare, nu-mi amintesc anul trecut să fi fost aşa mare scandal şi problemă legată de această întârziere. [...] Anul trecut, Guvernul a depus bugetul în decembrie şi noi l-am votat în Parlament, președintele l-a promulgat în februarie. Asta este o informație care se poate verifica foarte uşor. """
508, Viorica Dăncilă,"„Doar într-un singur an am reuşit ceea ce alte guverne nu au atins într-un mandat întreg. Veniturile bugetului de stat au ajuns în 2018 la peste 295 mld. lei, ceea ce reprezintă o creştere cu 32% faţă de 2016, iar ponderea veniturilor în PIB a ajuns la 31,1% faţă de 29,5% în 2016. PIB a crescut în 2018 cu peste 25% faţă de anul 2016 şi a ajuns la 949,6 miliarde lei”.", DECLARAȚII Economie,Parțial Adevărat,1,"„Doar într-un singur an am reuşit ceea ce alte guverne nu au atins într-un mandat întreg. Veniturile bugetului de stat au ajuns în 2018 la peste 295 mld. lei, ceea ce reprezintă o creştere cu 32% faţă de 2016, iar ponderea veniturilor în PIB a ajuns la 31,1% faţă de 29,5% în 2016. PIB a crescut în 2018 cu peste 25% faţă de anul 2016 şi a ajuns la 949,6 miliarde lei”."
509, Victor Ponta,"„Viitorul arată bine: cel mai mare curs Euro - Leu din istorie, cel mai mare preț al energiei din Europa, cea mai mare inflație din ultimii 20 de ani, cele mai mici investiții publice după anul 2010, cei mai puțini bani la sănătate și educație.”", DECLARAȚII Sanatate,Parțial Fals,2,"„Viitorul arată bine: cel mai mare curs Euro - Leu din istorie, cel mai mare preț al energiei din Europa, cea mai mare inflație din ultimii 20 de ani, cele mai mici investiții publice după anul 2010, cei mai puțini bani la sănătate și educație.”"
510, USR,România se numără printre țările cu cea mai scăzută rată de vaccinare antigripală din Europa: 5.2%!, DECLARAȚII Sanatate,Adevărat,0,România se numără printre țările cu cea mai scăzută rată de vaccinare antigripală din Europa: 5.2%!
511, Ecaterina Andronescu,"„Au fost peste 2600 de şcoli fără toaletă în clădirea şcolii, ci cu toaletă în curte, mai sunt 1460.”", DECLARAȚII Educatie,Fals,3,"„Au fost peste 2600 de şcoli fără toaletă în clădirea şcolii, ci cu toaletă în curte, mai sunt 1460.”"
512, Ilan Laufer,"Dacă ne uităm cu atenție, înțelegem că cele doua ministere blocate de către Președintele Iohannis, cel al dezvoltării și cel al transporturilor, sunt ministerele cu cele mai mari bugete pentru investiții și infrastructura, adică peste 80% din investițiile care se realizează în România în aceste domenii sunt în directa responsabilitate și coordonare a acestor două ministere cheie din cadrul guvernului.", DECLARAȚII Transport,Fals,3,"Dacă ne uităm cu atenție, înțelegem că cele doua ministere blocate de către Președintele Iohannis, cel al dezvoltării și cel al transporturilor, sunt ministerele cu cele mai mari bugete pentru investiții și infrastructura, adică peste 80% din investițiile care se realizează în România în aceste domenii sunt în directa responsabilitate și coordonare a acestor două ministere cheie din cadrul guvernului."
513, Ludovic Orban,"""Avem o viziune de eficientizare a administraţiei. ️În nicio ţară europeană nu există 28 de miniştri cum există în Guvernul actual. Formula noastră de Guvern conţine 16 miniştri.""", DECLARAȚII Politica,Adevărat,0,"""Avem o viziune de eficientizare a administraţiei. ️În nicio ţară europeană nu există 28 de miniştri cum există în Guvernul actual. Formula noastră de Guvern conţine 16 miniştri."""
514, Florin Roman,"„Voi depune la începutul sesiunii parlamentare un proiect de lege pentru ca cei care comit infracțiuni cu violențe, crime, tentative de crimă, tâlhărie sau viol să nu mai beneficieze de prevederile Legii 167/2017, privind regimul compensatoriu. Aproape 11.000 de infractori au fost eliberați mai devreme. 700 s-au reîntors deja în pușcării. Circa 200 de români au căzut victime din nou violențelor acestor recidiviști, care în libertate au comis crime, tentative de crime, violuri sau tâlharii”.", DECLARAȚII Justitie,Parțial Adevărat,1,"„Voi depune la începutul sesiunii parlamentare un proiect de lege pentru ca cei care comit infracțiuni cu violențe, crime, tentative de crimă, tâlhărie sau viol să nu mai beneficieze de prevederile Legii 167/2017, privind regimul compensatoriu. Aproape 11.000 de infractori au fost eliberați mai devreme. 700 s-au reîntors deja în pușcării. Circa 200 de români au căzut victime din nou violențelor acestor recidiviști, care în libertate au comis crime, tentative de crime, violuri sau tâlharii”."
515, Florin Câțu,"În 29 de ani, doar în perioade de criza bugetul a fost intarziat. In toti anii cand economia mergea bine, bugetul era a aprobat cel mai tarziu la sfarsitul lunii decembrie. [...] Nenorocirea acestei tari este ca oamenii astia au marit serviciul datoriei publice, in DOAR 2 ani, astfel: in 2018 cu 2 miliarde euro, in 2019 cu 3.5 miliarde euro.", DECLARAȚII Politica,Parțial Fals,2,"În 29 de ani, doar în perioade de criza bugetul a fost intarziat. In toti anii cand economia mergea bine, bugetul era a aprobat cel mai tarziu la sfarsitul lunii decembrie. [...] Nenorocirea acestei tari este ca oamenii astia au marit serviciul datoriei publice, in DOAR 2 ani, astfel: in 2018 cu 2 miliarde euro, in 2019 cu 3.5 miliarde euro."
516, Eugen Tomac,"Prima ispravă de pomină a Guvernului Dăncilă după preluarea de către țara noastră a președinției Consiliului UE este suspendarea procedurii de achiziție a corvetelor pentru Armata Română. [...] MApN nu a reușit să ducă la bun sfârșit nicio achiziție majoră de tehnică militară în 2018, în ciuda alocării unui procent de 2% din PIB pentru apărare.", DECLARAȚII Aparare,Parțial Adevărat,1,"Prima ispravă de pomină a Guvernului Dăncilă după preluarea de către țara noastră a președinției Consiliului UE este suspendarea procedurii de achiziție a corvetelor pentru Armata Română. [...] MApN nu a reușit să ducă la bun sfârșit nicio achiziție majoră de tehnică militară în 2018, în ciuda alocării unui procent de 2% din PIB pentru apărare."
517, Liviu Dragnea,"„Ce corupție? Un antemergător folosit de procurorul general Nițu? Dosarul Liei Olguța Vasilescu? Îndemnul meu de a cere românilor să meargă la referendum? Dosare construită pe probe falsificate, denunțuri obținute prin șantaj, înregistrări contrafăcute? [...] Am văzut însă că Adrian Năstase a fost condamnat pentru prejudiciu zero.", DECLARAȚII Justitie,Fals,3,"„Ce corupție? Un antemergător folosit de procurorul general Nițu? Dosarul Liei Olguța Vasilescu? Îndemnul meu de a cere românilor să meargă la referendum? Dosare construită pe probe falsificate, denunțuri obținute prin șantaj, înregistrări contrafăcute? [...] Am văzut însă că Adrian Năstase a fost condamnat pentru prejudiciu zero."
518, Ludovic Orban,"„Mi se pare o prostie fără margini. Există o Constituţie a României. Preşedintele participă la şedinţele de Guvern la care se dezbat chestiuni legate de apărare, de siguranţă naţională, de politică externă, conducând şedinţele la care participă. Sigur, dacă sunt puncte pe aceste competenţe constituţionale conferite de Constituţie, preşedintele poate să participe la şedinţele de Guvern şi sunt convins că o va face, dar nici nu poate să se ducă în fiecare zi de şedinţă de Guvern, să ciocănească la uşa Guvernului şi să intre peste membrii Guvernului. Asta mi se pare chiar o propunere destul de ciudată şi de stranie”", DECLARAȚII Politica,Parțial Fals,2,"„Mi se pare o prostie fără margini. Există o Constituţie a României. Preşedintele participă la şedinţele de Guvern la care se dezbat chestiuni legate de apărare, de siguranţă naţională, de politică externă, conducând şedinţele la care participă. Sigur, dacă sunt puncte pe aceste competenţe constituţionale conferite de Constituţie, preşedintele poate să participe la şedinţele de Guvern şi sunt convins că o va face, dar nici nu poate să se ducă în fiecare zi de şedinţă de Guvern, să ciocănească la uşa Guvernului şi să intre peste membrii Guvernului. Asta mi se pare chiar o propunere destul de ciudată şi de stranie”"
519, Tudorel Toader,"Cristian Preda îmi cere să opresc procedura de extrădare a unui jurnalist turc! În condiţiile legii, procedura extrădării este de competenţa organelor judiciare. Autorul solicitării nu cunoaşte acest aspect elementar?  PS:  Nu cred că autorul solicitării îmi cere să încalc independenţa autorităţii judiciare. Nu cred că autorul solicitării are cunoştinţă de cazuri în care ministrul Justiţiei a stopat proceduri judiciare", DECLARAȚII Justitie,Parțial Adevărat,1,"Cristian Preda îmi cere să opresc procedura de extrădare a unui jurnalist turc! În condiţiile legii, procedura extrădării este de competenţa organelor judiciare. Autorul solicitării nu cunoaşte acest aspect elementar?  PS:  Nu cred că autorul solicitării îmi cere să încalc independenţa autorităţii judiciare. Nu cred că autorul solicitării are cunoştinţă de cazuri în care ministrul Justiţiei a stopat proceduri judiciare"
520, Tudorel Toader,"Proiectul de lege [n.r. privind recursul compensatoriu] a fost inițiat sub guvernarea anterioară. CSM a considerat faptul că pentru a fi efective, cele 3 zile pot fi considerate ca fiind efectiv executate, în locul unui beneficiu la liberarea condiționată. Parlamentul și-a însușit propunerea venită de la CSM [...]  Legea a fost adoptată la data de 14 iulie 2017, a fost publicată în Monitorul Oficial din data de 18 iulie 2017 și a intrat în vigoare la data de 21 iulie 2017. Studiul de impact se face în procedura de legiferare și nu în faza de aplicare a legii.", DECLARAȚII Justitie,Parțial Fals,2,"Proiectul de lege [n.r. privind recursul compensatoriu] a fost inițiat sub guvernarea anterioară. CSM a considerat faptul că pentru a fi efective, cele 3 zile pot fi considerate ca fiind efectiv executate, în locul unui beneficiu la liberarea condiționată. Parlamentul și-a însușit propunerea venită de la CSM [...]  Legea a fost adoptată la data de 14 iulie 2017, a fost publicată în Monitorul Oficial din data de 18 iulie 2017 și a intrat în vigoare la data de 21 iulie 2017. Studiul de impact se face în procedura de legiferare și nu în faza de aplicare a legii."
521, Viorica Dăncilă,"„În România există dreptul de opinie, dreptul la expresie dar în același timp avem un regulament european de protecție a datelor. Dacă sunt încălcate drepturile acestea, dacă e încălcată viața privată, dacă sunt folosite date personale, fiecare, indiferent de unde vine, indiferent cine este, trebuie sancționat în conformitate cu normele europene. Atâta timp cât avem un regulament european, el nu este opțional, e obligatoriu și în România a fost aplicat acest regulament”. ", DECLARAȚII Politica,Parțial Fals,2,"„În România există dreptul de opinie, dreptul la expresie dar în același timp avem un regulament european de protecție a datelor. Dacă sunt încălcate drepturile acestea, dacă e încălcată viața privată, dacă sunt folosite date personale, fiecare, indiferent de unde vine, indiferent cine este, trebuie sancționat în conformitate cu normele europene. Atâta timp cât avem un regulament european, el nu este opțional, e obligatoriu și în România a fost aplicat acest regulament”. "
522, Tudorel Toader,"„[...] de ce nu vă duceți în Statele Unite, unde procurorul general a fost demis pe loc, sau în Germania? La noi tragem proceduri, spunem că nu există nimic.” ", DECLARAȚII Politica,Fals,3,"„[...] de ce nu vă duceți în Statele Unite, unde procurorul general a fost demis pe loc, sau în Germania? La noi tragem proceduri, spunem că nu există nimic.” "
523, Klaus Iohannis,"N-o să vă vină să credeți, sunt 70 de politicieni care au fost sau sunt miniștri în aceste guverne în nici 2 ani. Așa nu se poate guverna.", DECLARAȚII Politica,Parțial Adevărat,1,"N-o să vă vină să credeți, sunt 70 de politicieni care au fost sau sunt miniștri în aceste guverne în nici 2 ani. Așa nu se poate guverna."
524, Lia Olguța Vasilescu,"„În ceea ce privește Ministerul Muncii, vreau să vă spun că în proporție de 97% sunt realizate măsurile prevăzute în Programul de guvernare”", DECLARAȚII Politica,Fals,3,"„În ceea ce privește Ministerul Muncii, vreau să vă spun că în proporție de 97% sunt realizate măsurile prevăzute în Programul de guvernare”"
525, Florin Roman,"„În ultimii doi ani, guvernul de stânga PSD-ALDE a împrumutat România cu 20 de miliarde de euro şi pe fiecare român cu 1006 euro. Numai în primele 9 luni ale acestui an, Dragnea a îndatorat România cu 9,8 miliarde de euro. Este răspunsul oficial al guvernului Dancilă la o interpelare pe care am adresat-o Ministerului de Finanţe”", DECLARAȚII Finante,Parțial Fals,2,"„În ultimii doi ani, guvernul de stânga PSD-ALDE a împrumutat România cu 20 de miliarde de euro şi pe fiecare român cu 1006 euro. Numai în primele 9 luni ale acestui an, Dragnea a îndatorat România cu 9,8 miliarde de euro. Este răspunsul oficial al guvernului Dancilă la o interpelare pe care am adresat-o Ministerului de Finanţe”"
526, Cristina Prună,"„Prețul pentru această materie primă urma să fie reglementat de stat în termen de 60 de zile de la intrarea în vigoare a acestei legi printr-o hotărâre de guvern""  ""Ei bine, termenul a fost depășit cu o lună și, cu toate că Nuclearelectrica a încheiat un contract cadru cu CNU pentru livrarea pulberii de dioxid de uraniu, încă nu știe care este noul tarif. În lege, s-a strecurat și o greșeală, întrucât se consființește atât Consiliului Concurenței cât și Ministerului Finanțelor Publice dreptul de a stabili prețul pentru pulberea dioxidului de uraniu. În mod normal, doar Finanțele trebuiau să aibă acest drept, întrucât Consiliul Concurenței nu emite HG-uri""", DECLARAȚII Energie,Parțial Adevărat,1,"„Prețul pentru această materie primă urma să fie reglementat de stat în termen de 60 de zile de la intrarea în vigoare a acestei legi printr-o hotărâre de guvern""  ""Ei bine, termenul a fost depășit cu o lună și, cu toate că Nuclearelectrica a încheiat un contract cadru cu CNU pentru livrarea pulberii de dioxid de uraniu, încă nu știe care este noul tarif. În lege, s-a strecurat și o greșeală, întrucât se consființește atât Consiliului Concurenței cât și Ministerului Finanțelor Publice dreptul de a stabili prețul pentru pulberea dioxidului de uraniu. În mod normal, doar Finanțele trebuiau să aibă acest drept, întrucât Consiliul Concurenței nu emite HG-uri"""
527, Traian Băsescu,"„În condiţiile în care Damen, şantier naval olandez, care activează şi în România la Galaţi şi la Mangalia, este înscris în cursa pentru a obţine un contract de 1,6 miliarde la Armata Română se produce o succesiune de evenimente gestionate de olandezi.   Pe 12 septembrie vine Mark Rutte la Bucureşti cu un tupeu incredibil să ne spună că nu intrăm în Schengen că e corupţie la noi. Pe 1 octombrie, deci la 2 săptămâni, domnul Frans Timmermans, tot olandez, vicepreşedinte al Comisiei Europene şi fost ministru de Externe în Guvernul lui Rutte, ne face un raport foarte general dar demolator legat de justiţie. Eu nu zic că nu a avut şi dreptate, dar a avut şi multe interpretări forţate. Şi pe urmă, altă belea olandeză vine pe capul nostru, la 22 de zile după raportul lui Timmermans din comisia LIBE ne trezim că raportor al Comisiei de la Veneţia este olandezul Martin Kuijer, cel care a făcut raportul în care se merge până chiar la a ne cere să modificăm Constituţia.  Nu am putut să nu observ că toţi aceşti olandezi au venit în avalanşă în preajma atribuirii unui contract de 1,6 miliarde în care este competitor şi Damen din Olanda în condiţiile în care Damen din Olanda are destule acuzaţii de corupţie. Dacă ne luăm după standardele lui Mark Rutte, Frans Timmermans şi chiar ale domnului Martin Kuijer trebuia să scoatem afară din licitaţie compania Damen pentru că sunt serioase suspiciuni de corupţie, iar compania este în ancheta procuraturii olandeze pentru mituit prin intermediari guverne din Sierra Leone, Ghana, Togo, Libia, Brazilia şi Chile""", DECLARAȚII Externe,Parțial Fals,2,"„În condiţiile în care Damen, şantier naval olandez, care activează şi în România la Galaţi şi la Mangalia, este înscris în cursa pentru a obţine un contract de 1,6 miliarde la Armata Română se produce o succesiune de evenimente gestionate de olandezi.   Pe 12 septembrie vine Mark Rutte la Bucureşti cu un tupeu incredibil să ne spună că nu intrăm în Schengen că e corupţie la noi. Pe 1 octombrie, deci la 2 săptămâni, domnul Frans Timmermans, tot olandez, vicepreşedinte al Comisiei Europene şi fost ministru de Externe în Guvernul lui Rutte, ne face un raport foarte general dar demolator legat de justiţie. Eu nu zic că nu a avut şi dreptate, dar a avut şi multe interpretări forţate. Şi pe urmă, altă belea olandeză vine pe capul nostru, la 22 de zile după raportul lui Timmermans din comisia LIBE ne trezim că raportor al Comisiei de la Veneţia este olandezul Martin Kuijer, cel care a făcut raportul în care se merge până chiar la a ne cere să modificăm Constituţia.  Nu am putut să nu observ că toţi aceşti olandezi au venit în avalanşă în preajma atribuirii unui contract de 1,6 miliarde în care este competitor şi Damen din Olanda în condiţiile în care Damen din Olanda are destule acuzaţii de corupţie. Dacă ne luăm după standardele lui Mark Rutte, Frans Timmermans şi chiar ale domnului Martin Kuijer trebuia să scoatem afară din licitaţie compania Damen pentru că sunt serioase suspiciuni de corupţie, iar compania este în ancheta procuraturii olandeze pentru mituit prin intermediari guverne din Sierra Leone, Ghana, Togo, Libia, Brazilia şi Chile"""
528, Liviu Dragnea,"„Tocmai că una dintre recomandările Comisiei de la Veneția se referă la modificarea procedurii de pensionare a magistraților, care a fost introdusă în lege la solicitarea CSM cu care noi am fost de acord și acum suntem în situația în care s-a prorogat prin ordonanță și să vedem cum facem, dacă să ținem cont mai mult de recomandările CSM sau ale Comisiei de la Venetia.”", DECLARAȚII Justitie,Adevărat,0,"„Tocmai că una dintre recomandările Comisiei de la Veneția se referă la modificarea procedurii de pensionare a magistraților, care a fost introdusă în lege la solicitarea CSM cu care noi am fost de acord și acum suntem în situația în care s-a prorogat prin ordonanță și să vedem cum facem, dacă să ținem cont mai mult de recomandările CSM sau ale Comisiei de la Venetia.”"
529, Liviu Dragnea,"„De asemenea, Curtea Constituțională a zis în decizia respectivă că este evidentă utilitatea acestei secții [n.r. pentru investigarea infracțiunilor din justiție]”", DECLARAȚII Justitie,Parțial Fals,2,"„De asemenea, Curtea Constituțională a zis în decizia respectivă că este evidentă utilitatea acestei secții [n.r. pentru investigarea infracțiunilor din justiție]”"
530, Florin Iordache,"În ceea ce privește cel de-al doilea raport care vizează legile justiției, nu s-a luat în discuție OUG 92, singura observație a fost că această ordonanță a ajuns foarte târziu, urmând ca în perioada următoare să operăm modificările în consecință. Singura observație față de raportul preliminar din vară a fost aceea că o serie de greșeli au fost corectate, cum a fost cea cu netemeinicia, care a fost o dezinformare a Comisiei de la Veneția.", DECLARAȚII Justitie,Fals,3,"În ceea ce privește cel de-al doilea raport care vizează legile justiției, nu s-a luat în discuție OUG 92, singura observație a fost că această ordonanță a ajuns foarte târziu, urmând ca în perioada următoare să operăm modificările în consecință. Singura observație față de raportul preliminar din vară a fost aceea că o serie de greșeli au fost corectate, cum a fost cea cu netemeinicia, care a fost o dezinformare a Comisiei de la Veneția."
531, Eugen Tomac,"Avocatul poporului nu a contestat niciodată nicio ordonanţă de urgentă a Guvernului. Nici când a fost vorba de interpretări abuzive în domeniul justiţiei, nici când a fost vorba de ordonanţa 13, nici când a fost vorba de drepturi exagerate, neconstituţionale, pentru minoritatea maghiară.", DECLARAȚII Politica,Parțial Adevărat,1,"Avocatul poporului nu a contestat niciodată nicio ordonanţă de urgentă a Guvernului. Nici când a fost vorba de interpretări abuzive în domeniul justiţiei, nici când a fost vorba de ordonanţa 13, nici când a fost vorba de drepturi exagerate, neconstituţionale, pentru minoritatea maghiară."
532, Florin Iordache,"„Sunt câteva chestiuni care vizează mai multe aspecte. Chestiunea cu pensionarea, cu CSM, cu membrii societății civile din CSM și revocarea membrilor CSM, toate se regăsesc în observațiile Comisiei de la Veneția”.", DECLARAȚII Justitie,Parțial Fals,2,"„Sunt câteva chestiuni care vizează mai multe aspecte. Chestiunea cu pensionarea, cu CSM, cu membrii societății civile din CSM și revocarea membrilor CSM, toate se regăsesc în observațiile Comisiei de la Veneția”."
533, Liviu Dragnea,"Toţi ştim că sunt milioane de români în afara ţării şi care au drept de vot, dar acest cvorum, ideea de cvorum - că este 30%, 50% - se dovedeşte încă o dată că diminuează sau inhibă prezenţa la vot dintr-un motiv foarte simplu: cei care sunt împotriva întrebării, indiferent care ar fi aceea, au la îndemână un mijloc care este pedepsit de lege, dar nimeni nu îl aplică, şi anume boicotul referendumului respectiv.", DECLARAȚII Politica,Fals,3,"Toţi ştim că sunt milioane de români în afara ţării şi care au drept de vot, dar acest cvorum, ideea de cvorum - că este 30%, 50% - se dovedeşte încă o dată că diminuează sau inhibă prezenţa la vot dintr-un motiv foarte simplu: cei care sunt împotriva întrebării, indiferent care ar fi aceea, au la îndemână un mijloc care este pedepsit de lege, dar nimeni nu îl aplică, şi anume boicotul referendumului respectiv."
534, Ioana Bran,"Numărul tinerilor care își întemeiază o familie crește de la an la an. În 2014, au fost oficiate 118.075 căsătorii. Cifra a crescut în fiecare an. Ultimele date ale Institutului Național de Statistică arată că în 2017 s-au înregistrat 142.613 căsătorii, cu 9.430 mai multe decât în 2016. Procentul celor care au spus „DA” a fost mai mare în mediul urban, conform aceluiași institut. Cele mai multe căsătorii (15,8%) s-au încheiat între bărbaţii şi femeile din grupa de vârstă 25-29 ani.", DECLARAȚII Social,Parțial Adevărat,1,"Numărul tinerilor care își întemeiază o familie crește de la an la an. În 2014, au fost oficiate 118.075 căsătorii. Cifra a crescut în fiecare an. Ultimele date ale Institutului Național de Statistică arată că în 2017 s-au înregistrat 142.613 căsătorii, cu 9.430 mai multe decât în 2016. Procentul celor care au spus „DA” a fost mai mare în mediul urban, conform aceluiași institut. Cele mai multe căsătorii (15,8%) s-au încheiat între bărbaţii şi femeile din grupa de vârstă 25-29 ani."
535, Liviu Dragnea,„Eu am văzut că s-a discutat că pentru România să se declanşeze procedurile de activare a articolului 7. De ce? Pentru că într-o lege au fost trecute mai multe amendamente care au fost solicitate de către asociaţiile de magistraţi sau de către CSM.’’, DECLARAȚII Justitie,Parțial Fals,2,„Eu am văzut că s-a discutat că pentru România să se declanşeze procedurile de activare a articolului 7. De ce? Pentru că într-o lege au fost trecute mai multe amendamente care au fost solicitate de către asociaţiile de magistraţi sau de către CSM.’’
536, Liviu Dragnea,"Constantin Niţă care e în puşcărie acum, fostul ministru, în motivare s-a scris că 'da, nu avem probe că a luat mită, dar nici el nu a putut să demonstreze că nu a luat'. Astea înseamnă lovituri asupra statului de drept în România.", DECLARAȚII Justitie,Fals,3,"Constantin Niţă care e în puşcărie acum, fostul ministru, în motivare s-a scris că 'da, nu avem probe că a luat mită, dar nici el nu a putut să demonstreze că nu a luat'. Astea înseamnă lovituri asupra statului de drept în România."
537, Călin Popescu Tăriceanu,"„E o chestiune de opţiune politică, de alegere politică. (...) Controlul legitim este al Curţii Constituţionale. Comisia de la Veneţia nu dă decât o opinie. Şi în cazul acesta nu este o opinie juridică, ci este o opinie politică”", DECLARAȚII Justitie,Fals,3,"„E o chestiune de opţiune politică, de alegere politică. (...) Controlul legitim este al Curţii Constituţionale. Comisia de la Veneţia nu dă decât o opinie. Şi în cazul acesta nu este o opinie juridică, ci este o opinie politică”"
538, Viorica Dăncilă,"“În ultimii 4 ani, peste 3.000 de magistrați au fost cercetați de DNA. Practic, jumătate dintre magistrații din România au avut, ani de zile, dosare, prin care, probabil, au fost influențați să dea soluții stabilite în afara sălii de judecată. Nu o spun doar eu, o spun cu multă îngrijorare asociațiile de magistrați din România.  Prin astfel de dosare contrafăcute, au fost înlăturați din funcție un judecător al Curții Constituționale, un vicepreședinte al Consiliului Superior al Magistraturii, patru judecători ai Înaltei Curți, mai mulți judecători de instanțe superioare, un procuror general, un șef de parchet superior. În final, toți au fost achitați sau dosarele au fost clasate. Dar ei au fost înlăturați!”", DECLARAȚII Justitie,Fals,3,"“În ultimii 4 ani, peste 3.000 de magistrați au fost cercetați de DNA. Practic, jumătate dintre magistrații din România au avut, ani de zile, dosare, prin care, probabil, au fost influențați să dea soluții stabilite în afara sălii de judecată. Nu o spun doar eu, o spun cu multă îngrijorare asociațiile de magistrați din România.  Prin astfel de dosare contrafăcute, au fost înlăturați din funcție un judecător al Curții Constituționale, un vicepreședinte al Consiliului Superior al Magistraturii, patru judecători ai Înaltei Curți, mai mulți judecători de instanțe superioare, un procuror general, un șef de parchet superior. În final, toți au fost achitați sau dosarele au fost clasate. Dar ei au fost înlăturați!”"
539, Călin Popescu Tăriceanu,"Este o formă de discriminare pentru că acest mecanism [MCV, n.n.] nu se aplică decât României.", DECLARAȚII Externe,Fals,3,"Este o formă de discriminare pentru că acest mecanism [MCV, n.n.] nu se aplică decât României."
